org,doc_count
Canadian Blood Services,1
Canadian Child Care Federation / Canadian Partnership for Children's Health and Environment,1
Canadian Civil Society Advancing Safe Supply Working Group,1
Canadian Coalition for the Rights of Children,1
Canadian Collaborative for Childhood Cannabinoid Therapeutics,1
Canadian Collaborative for Stillbirth Prevention,1
Canadian Council of Child and Youth Advocates,1
Canadian Counselling and Psychotherapy Association,1
Canadian Dermatology Association,1
Canadian Drug Policy Coalition,1
Canadian Educators for Safe Technology,1
Canadian Federation of Agriculture,1
Canadian Gender Report / Gender Dysphoria Alliance Canada / Genspect / LGB Alliance - Canada Chapter / Vancouver Lesbian Collective,1
Canadian Health Coalition,1
Canadian Health Workforce Network,1
Canadian Lung Association,1
Canadian Medical Foundation / PEGASUS Institute,1
Canadian Menopause Society,1
Canadian Paediatric Society,1
Canadian Pediatric Intensive Care Consortium,1
Canadian Pharmaceutical Manufacturers and Exporters Alliance,1
Canadian Public Health Association,1
Canadian Society for the Advancement of Gynecologic Excellence / EndoAct Canada / The Endometriosis Network Canada,1
Canadian Society of Breast Imaging,1
Canadian Society of Respiratory Therapists,1
Canadian Task Force on Preventive Health Care,1
Canadian Union of Postal Workers,1
Canadian Union of Public Employees,1
Canadian Veterinary Medical Association,1
Canadians For Safe Technology,1
Cancer Action Now,1
"Centre d'écologie urbaine de Montréal / Collins, Patricia A. / Frohlich, Katherine L. / Kingston Coalition for Active Transportation",1
Centre for Addiction and Mental Health,1
Centre for Health Science and Law,1
Centre for Healthcare Innovation - University of Manitoba,1
Centre on Drug Policy Evaluation / HIV Legal Network,1
Chicken Farmers of Canada,1
Children First Canada,1
Christian Farmers Federation of Ontario,1
Coalition for Healthy School Food,1
Coalition québécoise sur la problématique du poids,1
Coalition solidarité santé,1
Council of Canadian Innovators,1
Council of Canadians,1
Cystic Fibrosis Canada,1
Dense Breasts Canada,1
"Di Fonzo, Virginia",1
Diabetes Canada,1
Dr. Reddy’s Laboratories Canada Inc.,1
Edmonton Zone Medical Staff Association,1
Egale Canada,1
Eli Lilly Canada Inc.,1
Empowering Next Generation Researchers in Perinatal and Child Health,1
Environmental Health Association of Manitoba,1
Fertility Matters Canada,1
Fondation Olo / Montreal Antenatal Wellbeing Study / Québec Alliance for Perinatal Mental Health / Regroupement Les Sages-femmes du Québec / Regroupement pour la Valorisation de la Paternité / Réseau des Centres de Ressources Périnatales du Québec,1
Food Allergy Canada,1
Fédération des médecins omnipraticiens du Québec,1
GS1 Canada,1
Goodman Pediatric Formulations Centre / Institute for Safe Medication Practices Canada,1
"Guijarro Pinal, Jesus",1
Health Charities Coalition of Canada,1
HealthPRO Canada,1
Healthy Life Trajectories Initiative,1
Hospital for Sick Children / St. Michael's Hospital / The Applied Research Group for Kids,1
Independent Voices for Safe and Effective Drugs,1
Infection Prevention and Control Canada,1
Inspiring Healthy Futures,1
Institute for Human Conceptual and Mental Development,1
International Association of Fire Fighters,1
JAMP Pharma Group,1
Kids Brain Health Network,1
London Abused Women's Centre,1
Manitoba Advocate for Children and Youth,1
Manitoba Interdisciplinary Lactation Center,1
Maternal Infant Child and Youth Research Network,1
McGill University Health Centre,1
Medical Laboratory Professionals' Association of Ontario,1
Menopause Foundation of Canada,1
Multiple Sclerosis Society of Canada,1
Muslim Advisory Council of Canada,1
National Association of Pharmacy Regulatory Authorities,1
National Cattle Feeders' Association,1
National Dental Examining Board of Canada,1
National Indigenous Diabetes Association Inc.,1
National Union of Public and General Employees,1
Neurological Health Charities of Canada,1
New Brunswick Federation of Labour,1
Novartis Pharmaceuticals Canada Inc.,1
Nurse Practitioner Association of Canada,1
"O'Brien, Kelly",1
Offord Centre for Child Studies,1
Ontario English Catholic Teachers' Association,1
Ontario Federation of Labour,1
Organon,1
Outdoor Play Canada,1
Ovarian Cancer Canada,1
Paediatric Inpatient Research Network,1
Parkinson Canada,1
ParticipACTION,1
Patients for Patient Safety Canada,1
Pediatric Chairs of Canada,1
Persons Against Non-State Torture,1
Power Stones Jewelry,1
Prevent Cancer Now,1
Research and Education for Solutions to Violence and Abuse,1
Results Canada,1
Results Canada / Stop TB Canada,1
SE Health,1
SQI Diagnostics Systems Inc.,1
Smart Health Benefits Coalition,1
Society for Canadians Studying Medicine Abroad,1
Society of Obstetricians and Gynaecologists of Canada,1
Sonography Canada,1
Spectrum Health Care,1
Starlings Community Inc.,1
Stop Marketing to Kids Coalition,1
"Strong Minds Strong Kids, Psychology Canada",1
Sun Life Assurance Company of Canada,1
The J Healthcare Initiative / Toronto Harm Reduction Alliance,1
Type 1 Together,1
UNICEF Canada,1
University of British Columbia Perinatal Anxiety Research Laboratory,1
University of Saskatchewan,1
"Van Lieshout, Ryan",1
Viral Neuro Exploration,1
Wilms Cancer Foundation,1
Women's Legal Education and Action Fund,1
Women's Rights Matter,1
World Education Services,1
Young Canadians Roundtable on Health,1
"d'Anjou, Olivette",1
