doc_id,Name,org,source_type,date,language,card_text,topic_seed,stakeholder_type,label_source,near_dup_cluster,duplicate_of
fix_pha_007,Brief fix_pha_007,Org for fix_pha_007,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,,
fix_pha_008,Brief fix_pha_008,Org for fix_pha_008,hesa_brief,2023-01-01,en,This brief is about pharmacare policy in Canada.,pharmacare,physician_org,weak,ndc_001,
fix_men_001,Brief fix_men_001,Org for fix_men_001,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,,
fix_men_002,Brief fix_men_002,Org for fix_men_002,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,,
fix_men_003,Brief fix_men_003,Org for fix_men_003,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,,
fix_men_004,Brief fix_men_004,Org for fix_men_004,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,,
fix_men_005,Brief fix_men_005,Org for fix_men_005,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,,
fix_men_006,Brief fix_men_006,Org for fix_men_006,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,ndc_002,
fix_men_007,Brief fix_men_007,Org for fix_men_007,hesa_brief,2023-01-01,en,This brief is about mental_health policy in Canada.,mental_health,physician_org,weak,ndc_002,
fix_wor_001,Brief fix_wor_001,Org for fix_wor_001,hesa_brief,2023-01-01,en,This brief is about workforce policy in Canada.,workforce,physician_org,weak,,
fix_wor_002,Brief fix_wor_002,Org for fix_wor_002,hesa_brief,2023-01-01,en,This brief is about workforce policy in Canada.,workforce,physician_org,weak,,
fix_wor_003,Brief fix_wor_003,Org for fix_wor_003,hesa_brief,2023-01-01,en,This brief is about workforce policy in Canada.,workforce,physician_org,weak,,
fix_wor_004,Brief fix_wor_004,Org for fix_wor_004,hesa_brief,2023-01-01,en,This brief is about workforce policy in Canada.,workforce,physician_org,weak,,
fix_wor_005,Brief fix_wor_005,Org for fix_wor_005,hesa_brief,2023-01-01,en,This brief is about workforce policy in Canada.,workforce,physician_org,weak,,
fix_ind_001,Brief fix_ind_001,Org for fix_ind_001,hesa_brief,2023-01-01,en,This brief is about indigenous_health policy in Canada.,indigenous_health,physician_org,weak,,
fix_ind_002,Brief fix_ind_002,Org for fix_ind_002,hesa_brief,2023-01-01,en,This brief is about indigenous_health policy in Canada.,indigenous_health,physician_org,weak,,
fix_ind_003,Brief fix_ind_003,Org for fix_ind_003,hesa_brief,2023-01-01,en,This brief is about indigenous_health policy in Canada.,indigenous_health,physician_org,weak,,
fix_ind_004,Brief fix_ind_004,Org for fix_ind_004,hesa_brief,2023-01-01,en,This brief is about indigenous_health policy in Canada.,indigenous_health,physician_org,weak,ndc_002,
fix_unl_001,Brief fix_unl_001,Org for fix_unl_001,hesa_brief,2023-01-01,en,This brief is about unlabeled policy in Canada.,unlabeled,physician_org,weak,,
fix_unl_002,Brief fix_unl_002,Org for fix_unl_002,hesa_brief,2023-01-01,en,This brief is about unlabeled policy in Canada.,unlabeled,physician_org,weak,,
fix_unl_003,Brief fix_unl_003,Org for fix_unl_003,hesa_brief,2023-01-01,en,This brief is about unlabeled policy in Canada.,unlabeled,physician_org,weak,,
fix_unl_004,Brief fix_unl_004,Org for fix_unl_004,hesa_brief,2023-01-01,en,This brief is about unlabeled policy in Canada.,unlabeled,physician_org,weak,,
fix_can_001,Brief fix_can_001,Org for fix_can_001,hesa_brief,2023-01-01,en,This brief is about cancer policy in Canada.,cancer,physician_org,weak,,
fix_can_002,Brief fix_can_002,Org for fix_can_002,hesa_brief,2023-01-01,en,This brief is about cancer policy in Canada.,cancer,physician_org,weak,,
